,_Glon,_Glat,Cluster,RA_ICRS,DE_ICRS,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,dr3_rv,e_dr3_rv,N_stars_dr3_rv,ra_duarte,dec_duarte
1427,199.563046,-2.363652,UBC_439,94.5458,10.7662,97,0.443,0.177,-0.95,0.167,0.282,0.093,,,2767,112,8.447,0.051,-0.146,0.025,1.395,0.046,34.35159948689245,0.4902582319102745,3.0,94.53507600424506,10.774092666362469
1428,216.007456,-4.131444,UBC_442,100.5758,-4.616,102,0.197,0.188,-0.226,0.139,0.197,0.11,,,4607,614,8.879,0.082,-0.14,0.168,1.397,0.154,49.99425009488084,4.79798205488395,6.0,100.57260576671491,-4.618943896804074
1429,217.08597,-6.840734,UBC_443,98.6313,-6.7953,137,0.228,0.16,0.082,0.176,0.275,0.083,25.029,2.191,2704,271,8.893,0.64,-0.152,0.115,1.538,0.228,30.975328971570207,2.1306768536362406,8.0,98.64018429731588,-6.819463590998855
1430,221.368618,1.976623,UBC_445,108.4954,-6.5904,70,-0.883,0.112,-1.325,0.109,0.35,0.066,,,2656,114,8.58,0.221,-0.041,0.062,1.071,0.126,,,,108.4984027544142,-6.580390586566352
1431,225.032461,5.676149,UBC_448,113.5194,-8.0798,142,-1.396,0.176,0.583,0.167,0.269,0.095,,,2988,129,8.582,0.172,-0.097,0.083,0.58,0.096,,,,113.51370940629522,-8.081442304708808
1432,230.074746,4.823192,UBC_449,115.2254,-12.8888,109,-1.367,0.18,1.794,0.138,0.281,0.1,,,3032,204,8.768,0.181,-0.088,0.076,0.545,0.284,,,,115.21126898159643,-12.882780497103372
1433,233.388474,-2.575103,UBC_450,110.1182,-19.3429,154,-1.841,0.115,1.353,0.126,0.312,0.06,,,2924,102,7.752,0.327,0.056,0.065,1.087,0.053,77.31601019736912,0.9016335883666168,3.0,110.11566697795332,-19.378541321596195
1434,233.408979,-12.357358,UBC_451,100.6915,-23.6856,29,-1.13,0.102,-0.009,0.122,0.519,0.072,,,1910,49,8.001,0.281,0.205,0.119,0.309,0.074,13.902072556004477,5.049360276702116,4.0,100.72276337296842,-23.732377476108137
1435,234.698233,-3.166467,UBC_456,110.2131,-20.7757,143,-0.858,0.131,1.171,0.164,0.242,0.086,,,3200,96,8.071,0.267,0.136,0.117,1.329,0.061,,,,110.21672642105042,-20.776265583583378
1436,235.199364,2.049509,UBC_458,115.3284,-18.7065,53,-3.027,0.175,2.927,0.187,0.27,0.086,68.394,0.391,3660,96,8.271,0.057,0.061,0.118,0.945,0.197,68.03769438409115,0.2389586239100093,2.0,115.33106958055616,-18.70577763514936
